"Report Type","summary"
"University","MADAR Development University"
"Generated At","2026-07-13T01:17:12.691Z"
"Total Colleges","3"
"Total Departments","6"
"Total Students","5"

"data.university.id","6a5429c9aabaf0680a146bf7"
"data.university.name","MADAR Development University"
"data.university.logoUrl",""
"data.university.academicYear",""
"data.summary.totalStudents","5"
"data.summary.totalColleges","3"
"data.summary.totalDepartments","6"
"data.summary.verifiedStudents","2"
"data.summary.averageReadiness","76"
"data.summary.employmentRate","50"
"data.summary.curriculumAlignment","0"
"data.collegePerformance","collegeId","collegeName","studentCount","employmentRate","readinessScore","skillGapCount"
"","6a543b35aabaf0680a146c09","College of Business","1","100","75","0"
"","6a5429c9aabaf0680a146bfa","College of Computing and AI","1","50","76","0"
"","6a5429c9aabaf0680a146bfb","College of Engineering","2","50","0","0"
"data.trends.readiness",""
"data.trends.employment",""
"data.topSkills",""
"data.topEmployers",""
"data.recentActivities",""
"data.kpis.totalStudents","5"
"data.kpis.totalColleges","3"
"data.kpis.totalDepartments","6"
"data.kpis.verifiedStudents","2"
"data.kpis.averageReadiness","76"
"data.kpis.employmentRate","50"
"data.kpis.curriculumAlignment","0"
"data.kpis.avgReadinessScore","76"
"data.kpis.acceptanceRate","0"
"data.kpis.averageMatchScore","0"
"data.kpis.skillAlignmentScore","0"
"data.kpis.topEmployers",""
"data.skillGaps",""
"data.topSkillsInDemand","_id","demandScore","growthRate"
"","""6a4d62929ade653e05e0720a""","98","12.8"
"","""6a4d62929ade653e05e07209""","95","15.2"
"","""6a4d62929ade653e05e0720b""","95","14.3"
"","""6a4d62929ade653e05e07211""","93","6.5"
"","""6a4d62929ade653e05e0720e""","90","16.4"
"","""6a4d62929ade653e05e07210""","90","8.2"
"","""6a4d62929ade653e05e0720f""","88","25.3"
"","""6a4d62929ade653e05e07212""","86","19.8"
"","""6a4d62929ade653e05e0720c""","85","22.5"
"","""6a4d62929ade653e05e0720d""","82","18.7"
